Product,Number of results in Yarrowia Database,groups,Number of results,%,product,species,titer,titer log(10),titer ln,titer log2
,,,,72.91,Lipids,yarrowia,4.88,0.688419822,1.58514522,2.28688114778816
,,,,0.0154,Lipids,yarrowia,4.92,0.691965103,1.593308531,2.29865831556452
,,,,0.0034,Lipids,yarrowia,5.27,0.721810615,1.662030363,2.39780296186249
,,,,0.0193,Lipids,yarrowia,1.56,0.193124598,0.444685821,0.641546029087524
,,,,5,Lipids,yarrowia,3.02,0.480006943,1.105256831,1.59454854955035
,,,,0.0413,Lipids,yarrowia,2.19,0.340444115,0.783901544,1.13093086982645
,,,,0.0413,Lipids,yarrowia,2.85,0.45484486,1.047318994,1.51096191927738
,,,,0.71,Lipids,yarrowia,1.26,0.100370545,0.231111721,0.333423733725192
,,,,0.69,Lipids,yarrowia,1.9,0.278753601,0.641853886,0.925999418556223
,,,,1.8,Lipids,yarrowia,4.55,0.658011397,1.515127233,2.18586654531133
,,,,0.82,Lipids,yarrowia,4.18,0.621176282,1.430311247,2.06350294230616
,,,,0.34,Lipids,yarrowia,5.51,0.741151599,1.706564623,2.46205231879643
,,,,2.48,Lipids,yarrowia,3.69,0.567026366,1.305626458,1.88362081628567
,,,,0.5,Lipids,yarrowia,5.49,0.739572344,1.702928256,2.45680614923047
,,,,22.68,Lipids,yarrowia,6.15,0.788875116,1.816452082,2.62058641045188
,,,,1.16,Lipids,yarrowia,5.76,0.760422483,1.750937475,2.52606881166759
,,,,23.14,Lipids,yarrowia,9.15,0.961421094,2.213753879,3.19377174339668
,,,,23.07,Lipids,yarrowia,0.57,-0.244125144,-0.562118918,-0.810966175609983
,,,,14.4,Lipids,yarrowia,0.55,-0.259637311,-0.597837001,-0.862496476250065
,,,,11.59,Lipids,yarrowia,0.63,-0.200659451,-0.46203546,-0.666576266274808
,,,,0.42,Lipids,yarrowia,0.49,-0.30980392,-0.713349888,-1.02914634565952
,,,,0.28,Lipids,yarrowia,0.57,-0.244125144,-0.562118918,-0.810966175609983
,,,,0.32,Lipids,yarrowia,0.58,-0.236572006,-0.544727175,-0.785875194647153
,,,,0.34,Lipids,yarrowia,0.53,-0.27572413,-0.634878272,-0.915935735211526
,,,,0.45,Lipids,yarrowia,0.4,-0.397940009,-0.916290732,-1.32192809488736
,,,,0.47,Lipids,yarrowia,0.38,-0.420216403,-0.967584026,-1.39592867633114
,,,,0.4,Lipids,yarrowia,0.225,-0.647817482,-1.491654877,-2.15200309344505
,,,,0.41,Lipids,yarrowia,0.15,-0.823908741,-1.897119985,-2.73696559416621
,,,,0.63,Lipids,yarrowia,0.125,-0.903089987,-2.079441542,-3
,,,,0.58,Lipids,yarrowia,0.27,-0.568636236,-1.30933332,-1.88896868761126
,,,,0.4,Lipids,yarrowia,0.025,-1.602059991,-3.688879454,-5.32192809488736
,,,,0.41,Lipids,yarrowia,0.61,-0.214670165,-0.494296322,-0.713118852211838
,,,,0.34,Lipids,yarrowia,1.15,0.06069784,0.139761942,0.20163386116965
,,,,1.2,Lipids,yarrowia,2.26,0.354108439,0.815364813,1.17632277264046
,,,,60,Lipids,yarrowia,3.88,0.588831726,1.355835154,1.9560566524124
,,,,61.2,Lipids,yarrowia,1.85,0.267171728,0.615185639,0.887525270741588
,,,,18.7,Lipids,yarrowia,3.44,0.536558443,1.235471471,1.78240856492737
,,,,4.6,Lipids,yarrowia,6.16,0.789580712,1.818076778,2.62293035092018
,,,,8,Lipids,yarrowia,5.32,0.725911632,1.671473303,2.41142624572647
,,,,7.93,Lipids,yarrowia,5.9,0.770852012,1.774952351,2.56071495447448
,,,,8.25,Lipids,yarrowia,20.1,1.303196057,3.000719815,4.32912359629157
,,,,12,Lipids,yarrowia,7.8,0.892094603,2.054123734,2.96347412397489
,,,,13,Lipids,yarrowia,22.5,1.352182518,3.113515309,4.49185309632967
,,,,5,Lipids,yarrowia,7.3,0.86332286,1.987874348,2.86789646399266
,,,,5,Lipids,yarrowia,50.5,1.703291378,3.921973336,5.6582114827518
,,,,11,Lipids,yarrowia,1.0296,0.012668534,0.029170377,0.0420839586712525
,,,,15,Lipids,yarrowia,2.1883,0.34010686,0.783124987,1.12981053467684
,,,,10,Lipids,yarrowia,0.259,-0.586700236,-1.350927217,-1.94897599697553
,,,,11,Lipids,yarrowia,0.0949,-1.022733788,-2.354931573,-3.39744810252834
,,,,15.9,Lipids,yarrowia,0.5518,-0.258218304,-0.594569617,-0.857782638196177
,,,,37.3,Lipids,yarrowia,0.6102,-0.214527797,-0.493968507,-0.712645914970793
,,,,112.6,Lipids,yarrowia,0.9393,-0.027195678,-0.062620362,-0.0903420856896232
,,,,53.5,Lipids,yarrowia,1.1745,0.069853021,0.160842525,0.23204671335011
,,,,95.3,Lipids,yarrowia,1.5222,0.182471718,0.420156657,0.606157925235646
,,,,127.4,Lipids,yarrowia,0.9324,-0.030397735,-0.069993372,-0.100979090420583
,,,,155,Lipids,yarrowia,0.8883,-0.051440338,-0.118445755,-0.170881103650739
,,,,185.7,Lipids,yarrowia,0.1764,-0.753501419,-1.735001135,-2.50307753399193
,,,,265.5,Lipids,yarrowia,0.744,-0.128427064,-0.295714244,-0.426625473554056
,,,,330.9,Lipids,yarrowia,0.376,-0.424812155,-0.978166136,-1.41119543298445
,,,,6.16,Lipids,yarrowia,0.7521,-0.123724411,-0.284885985,-0.411003597994354
,,,,71.09,Lipids,yarrowia,0.1869,-0.728390699,-1.677181565,-2.41966152580429
,,,,4.6,Lipids,yarrowia,0.5829,-0.234405945,-0.539739634,-0.778679693242949
,,,,0.6,Lipids,yarrowia,1.5561,0.192037503,0.442182691,0.637934775535145
,,,,2.4,Lipids,yarrowia,1.4028,0.146995757,0.338470239,0.488309335703363
,,,,3.4,Lipids,yarrowia,0.35,-0.455931956,-1.049822124,-1.51457317282976
,,,,0.93,Lipids,yarrowia,5.22,0.717670503,1.652497402,2.38404980679516
,,,,1.3,Lipids,yarrowia,10.5,1.021189299,2.351375257,3.39231742277876
,,,,1.6,Lipids,yarrowia,11.52,1.061452479,2.444084655,3.52606881166759
,,,,2,Lipids,yarrowia,12.9,1.11058971,2.557227311,3.68929916053589
,,,,2.07,Lipids,yarrowia,13.5,1.130333768,2.602689685,3.75488750216347
,,,,2.2,Lipids,yarrowia,10.38,1.016197354,2.339880878,3.37573453858316
,,,,2.8,Lipids,yarrowia,12.06,1.081347308,2.489894191,3.59215800212536
,,,,1.8,Lipids,yarrowia,12.06,1.081347308,2.489894191,3.59215800212536
,,,,1.6,Lipids,yarrowia,66.4,1.822168079,4.195697056,6.05311133645956
,,,,2.3,Lipids,yarrowia,0.714,-0.146301788,-0.336872317,-0.486004020632988
,,,,2.4,Lipids,yarrowia,0.8228,-0.084705717,-0.195042121,-0.281386301024516
,,,,38,Lipids,yarrowia,0.608,-0.216096421,-0.497580397,-0.717856771218502
,,,,38,Lipids,yarrowia,0.8928,-0.049245818,-0.113392687,-0.163591067720262
,,,,38,Lipids,yarrowia,2.4695,0.39260903,0.904015701,1.30421896871636
,,,,40,Lipids,yarrowia,2.62,0.418301291,0.963174318,1.38956681176273
,,,,3.66,Lipids,yarrowia,2.3,0.361727836,0.832909123,1.20163386116965
,,,,0.63,Lipids,yarrowia,3.5,0.544068044,1.252762968,1.8073549220576
,,,,0.01,Lipids,yarrowia,0.41,-0.387216143,-0.891598119,-1.28630418515664
,,,,5.2,Lipids,yarrowia,0.85,-0.070581074,-0.162518929,-0.234465253637023
,,,,0.95,Lipids,yarrowia,2.6,0.414973348,0.955511445,1.37851162325373
,,,,0.48,Lipids,yarrowia,0.17,-0.769551079,-1.771956842,-2.55639334852439
,,,,0.55,Lipids,yarrowia,0.21,-0.677780705,-1.560647748,-2.25153876699596
,,,,5.2,Lipids,yarrowia,0.45,-0.346787486,-0.798507696,-1.15200309344505
,,,,42.7,Lipids,yarrowia,0.46,-0.337242168,-0.776528789,-1.12029423371771
,,,,1.92,Lipids,yarrowia,0.41,-0.387216143,-0.891598119,-1.28630418515664
,,,,105.22,Lipids,yarrowia,0.85,-0.070581074,-0.162518929,-0.234465253637023
,,,,1.2,Lipids,yarrowia,1.42,0.152288344,0.350656872,0.505890929729957
,,,,1.2,Lipids,yarrowia,0.82,-0.086186148,-0.198450939,-0.286304185156641
,,,,4.2,Lipids,yarrowia,1.78,0.250420002,0.576613364,0.831877241191673
,,,,2.2,Lipids,yarrowia,2.3,0.361727836,0.832909123,1.20163386116965
,,,,7.3,Lipids,yarrowia,1.28,0.10720997,0.246860078,0.356143810225275
,,,,24,Lipids,yarrowia,1.26,0.100370545,0.231111721,0.333423733725192
,,,,67.4,Lipids,yarrowia,0.203,-0.692503962,-1.5945493,-2.30044836747691
,,,,73.6,Lipids,yarrowia,1.3,0.113943352,0.262364264,0.37851162325373
,,,,75.5,Lipids,yarrowia,1,0,0,0
,,,,81.8,Lipids,yarrowia,1.3,0.113943352,0.262364264,0.37851162325373
,,,,232.9,Lipids,yarrowia,3.6,0.556302501,1.280933845,1.84799690655495
,,,,55.64,Lipids,yarrowia,2.5,0.397940009,0.916290732,1.32192809488736
,,,,9.9,Lipids,yarrowia,4.64,0.666517981,1.534714366,2.21412480535285
