Product,Number of results in Yarrowia Database,groups,Number of results,%,product,species,titer,titer log(10),titer ln,titer log2
,,,,,Resveratrol,Saccharomyces,0.187,,,-2.41888982477445
,,,,,Resveratrol,Saccharomyces,0.185,,,-2.43440282414578
,,,,,Resveratrol,Saccharomyces,0.033,,,-4.92139016530363
,,,,,Resveratrol,Saccharomyces,0.195,,,-2.35845397091248
,,,,,Resveratrol,Saccharomyces,0.284,,,-1.81603716515741
,,,,,Resveratrol,Saccharomyces,0.111,,,-3.17136841831198
,,,,,"Acetate esters, Ethyl esters, Higher alcohols, Fatty acids",Saccharomyces,1,,,0
,,,,,Lipid,Saccharomyces,9.7,,,3.27798474729977
,,,,,Lipid,Saccharomyces,8.5,,,3.08746284125034
,,,,,Lipid,Saccharomyces,16.7,,,4.06177619758669
,,,,,Ethanol,Saccharomyces,22,,,4.4594316186373
,,,,,Ethanol,Saccharomyces,6,,,2.58496250072116
,,,,,Ethanol,Saccharomyces,9,,,3.16992500144231
,,,,,Ethanol,Saccharomyces,6,,,2.58496250072116
,,,,,Ethanol,Saccharomyces,9,,,3.16992500144231
,,,,,Ethanol,Saccharomyces,30,,,4.90689059560852
,,,,,ethanol,Saccharomyces,26.9,,,4.74953426766926
,,,,,Ethanol,Saccharomyces,98.78,,,6.62614706360372
,,,,,a-KG,Saccharomyces,11.17,,,3.48155728070859
,,,,,a-KG,Saccharomyces,46.7,,,5.5453506448223
,,,,,bioethanol,Saccharomyces,11.365,,,3.50652577904312
,,,,,ethanol,Saccharomyces,83.37,,,6.38145643014699
,,,,,ethanol,Saccharomyces,65.44,,,6.03210084316703
,,,,,ethanol,Saccharomyces,33.12,,,5.0496307677246
,,,,,ethanol,Saccharomyces,67.82,,,6.08363887925071
,,,,,ethanol,Saccharomyces,70.95,,,6.14873077917319
,,,,,ethanol,Saccharomyces,68.21,,,6.09191135749191
,,,,,ethanol,Saccharomyces,68.8,,,6.10433665981474
,,,,,ethanol,Saccharomyces,65.19,,,6.02657877012772
,,,,,ethanol,Saccharomyces,74.65,,,6.22207035524718
,,,,,ethanol,Saccharomyces,71.71,,,6.16410241248175
,,,,,ethanol,Saccharomyces,71.04,,,6.15055967657538
,,,,,ethanol,Saccharomyces,68.01,,,6.08767498668722
,,,,,(–)-α-bisabolol,Saccharomyces,0.222,,,-2.17136841831198
,,,,,(–)-α-bisabolol,Saccharomyces,0.4963,,,-1.01071564025233
,,,,,(–)-α-bisabolol,Saccharomyces,0.6393,,,-0.64543500104559
,,,,,(–)-α-bisabolol,Saccharomyces,0.8944,,,-0.161007906706259
,,,,,(–)-α-bisabolol,Saccharomyces,1.2423,,,0.313013608541585
,,,,,muconic acid,Saccharomyces,1.927,,,0.946356571633634
,,,,,muconic acid,Saccharomyces,2.008,,,1.00575926928868
,,,,,ethanol,Saccharomyces,8.5,,,3.08746284125034
,,,,,ethanol,Saccharomyces,8.5,,,3.08746284125034
,,,,,ethanol,Saccharomyces,15.7,,,3.97269265400426
,,,,,Ethanol,Saccharomyces,4.3,,,2.10433665981474
,,,,,Xylonic acid,Saccharomyces,54.97,,,5.78057257426304
,,,,,Ethanol,Saccharomyces,41.48,,,5.3743439890385
,,,,,Ethanol,Saccharomyces,14.4,,,3.84799690655495
,,,,,Ethanol,Saccharomyces,15.4,,,3.94485844580754
,,,,,Ethanol,Saccharomyces,15.6,,,3.96347412397489
,,,,,Ethanol,Saccharomyces,14.2,,,3.82781902461732
,,,,,Ethanol,Saccharomyces,11.8,,,3.56071495447448
,,,,,Ethanol,Saccharomyces,14.5,,,3.85798099512757
,,,,,Ethanol,Saccharomyces,14.9,,,3.8972404255748
,,,,,Ethanol,Saccharomyces,14.9,,,3.8972404255748
,,,,,Ethanol,Saccharomyces,14.3,,,3.83794324189103
,,,,,Ethanol,Saccharomyces,13.6,,,3.76553474636298
,,,,,Ethanol,Saccharomyces,25,,,4.64385618977473
,,,,,Ethanol,Saccharomyces,25.3,,,4.66106547980695
,,,,,Ethanol,Saccharomyces,7.8,,,2.96347412397489
,,,,,Ethanol,Saccharomyces,8.68,,,3.11769504266975
,,,,,Ethanol,Saccharomyces,13.39,,,3.74308405554959
,,,,,Ethanol,Saccharomyces,45,,,5.49185309632968
,,,,,Succinic acid,Saccharomyces,45.5,,,5.5077946401987
,,,,,Succinic acid,Saccharomyces,32.9,,,5.04001567884788
,,,,,Succinic acid,Saccharomyces,10.7,,,3.41953889151378
,,,,,Succinic acid,Saccharomyces,10.7,,,3.41953889151378
,,,,,S-adenosyl-L-methionine,Saccharomyces,10.1,,,3.33628338786443
,,,,,Fructo-oligosaccharides,Saccharomyces,122,,,6.93073733756289
,,,,,Fructo-oligosaccharides,Saccharomyces,110,,,6.78135971352466
,,,,,Fructo-oligosaccharides,Saccharomyces,110,,,6.78135971352466
,,,,,Fructo-oligosaccharides,Saccharomyces,119,,,6.89481776330794
,,,,,Ethanol,Saccharomyces,4.33,,,2.114367024952
,,,,,Ethanol,Saccharomyces,6.64,,,2.7311832415722
,,,,,Ethanol,Saccharomyces,4.53,,,2.17951105027151
,,,,,Ethanol,Saccharomyces,6.98,,,2.80322703643493
,,,,,Ethanol,Saccharomyces,3.94,,,1.97819562968165
,,,,,Ethanol,Saccharomyces,5.14,,,2.36176835941915
,,,,,Ethanol,Saccharomyces,3.93,,,1.97452931248388
,,,,,Ethanol,Saccharomyces,6.98,,,2.80322703643493
,,,,,2-Phenylethanol,Saccharomyces,3.83,,,1.93734439215023
,,,,,Succinic acid,Saccharomyces,46.8,,,5.54843662469604
,,,,,"vanillic acid, 4-VG",Saccharomyces,1.14,,,0.189033824390017
,,,,,"vanillic acid, 4-VG",Saccharomyces,1.25,,,0.321928094887362
,,,,,vanillic acid,Saccharomyces,1.2,,,0.263034405833794
,,,,,vanillic acid,Saccharomyces,1.2,,,0.263034405833794
,,,,,"(2R, 3R)-2,3-butanediol",Saccharomyces,74.5,,,6.21916852046216
,,,,,D-xylonic acid,Saccharomyces,9,,,3.16992500144231
,,,,,2K3DXA,Saccharomyces,0.029,,,-5.10780328953452
,,,,,3DPA,Saccharomyces,1.1,,,0.137503523749935
,,,,,Ethylene glycol,Saccharomyces,0.014,,,-6.15842936260448
,,,,,Glycolic acid,Saccharomyces,1.4,,,0.485426827170242
,,,,,Glycolic acid,Saccharomyces,0.15,,,-2.73696559416621
,,,,,Tyrosol,Saccharomyces,2.02,,,1.01435529297707
,,,,,Tyrosol,Saccharomyces,2.04,,,1.02856915219677
,,,,,Ethanol,Saccharomyces,3.5,,,1.8073549220576
,,,,,Ethanol,Saccharomyces,6.8,,,2.76553474636298
,,,,,Ethanol,Saccharomyces,59.16,,,5.88655014732434
,,,,,Ethanol,Saccharomyces,56.05,,,5.80864246791807
,,,,,Ethanol,Saccharomyces,94.44,,,6.56132613645392
,,,,,Ethanol,Saccharomyces,94.73,,,6.56574947936884
,,,,,Ethanol,Saccharomyces,95.32,,,6.57470704641555
,,,,,Ethanol,Saccharomyces,95.19,,,6.57273811686407
,,,,,Ethanol,Saccharomyces,81.8,,,6.35402893805439
,,,,,D-tagatose,Saccharomyces,23.5,,,4.55458885167764
,,,,,bioethanol,Saccharomyces,26.9,,,4.74953426766926
,,,,,Shikimate,Saccharomyces,3.11,,,1.63691458035588
,,,,,"1-decanol, 1-dodecanol, 1-tetradecanol, 1-hexadecanol",Saccharomyces,1.3,,,0.37851162325373
,,,,,1-hexadecanol,Saccharomyces,0.098,,,-3.35107444054688
,,,,,"1-decanol, 1-dodecanol, 1-tetradecanol, 1-hexadecanol",Saccharomyces,0.98,,,-0.0291463456595165
,,,,,"1-decanol, 1-dodecanol, 1-tetradecanol, 1-hexadecanol",Saccharomyces,1.02,,,0.0285691521967709
,,,,,"1-decanol, 1-dodecanol, 1-tetradecanol, 1-hexadecanol",Saccharomyces,1.11,,,0.150559676575381
,,,,,"1-decanol, 1-dodecanol, 1-tetradecanol, 1-hexadecanol",Saccharomyces,1.3,,,0.37851162325373
,,,,,Merlot wine,Saccharomyces,310,,,8.27612440527424
,,,,,Merlot wine,Saccharomyces,310,,,8.27612440527424
,,,,,Lactic acid,Saccharomyces,12.3,,,3.62058641045188
,,,,,trans-nerolidol,Saccharomyces,0.124,,,-3.01158797427521
,,,,,trans-nerolidol,Saccharomyces,0.245,,,-2.02914634565952
,,,,,trans-nerolidol,Saccharomyces,0.392,,,-1.35107444054688
,,,,,trans-nerolidol,Saccharomyces,3,,,1.58496250072116
,,,,,(2S)-naringenin,Saccharomyces,0.6486,,,-0.624599071093643
,,,,,EPA,Saccharomyces,1.9,,,0.925999418556223
,,,,,Ethanol,Saccharomyces,13.54,,,3.75915583380027
,,,,,Ginsenoside Compound K (CK),Saccharomyces,0.3845,,,-1.37894449670026
,,,,,Ginsenoside Compound K (CK),Saccharomyces,0.3044,,,-1.7159597360459
,,,,,Ginsenoside Compound K (CK),Saccharomyces,1.7,,,0.765534746362977
,,,,,Ethanol,Saccharomyces,25.9,,,4.69488019279919
,,,,,Ethanol,Saccharomyces,18.4,,,4.20163386116965
,,,,,Ethanol,Saccharomyces,13.2,,,3.72246602447109
,,,,,L-malate,Saccharomyces,88.5,,,6.467605550083
,,,,,L-malate,Saccharomyces,92.3,,,6.52825874275841
,,,,,L-malate,Saccharomyces,90.5,,,6.49984588708321
,,,,,L-malate,Saccharomyces,95.1,,,6.5713734359732
,,,,,L-malate,Saccharomyces,83.7,,,6.38715571766298
,,,,,L-malate,Saccharomyces,99.8,,,6.6409679104499
,,,,,L-malate,Saccharomyces,105.3,,,6.71836162613836
,,,,,L-malate,Saccharomyces,109.1,,,6.76950729143624
,,,,,L-malate,Saccharomyces,117.2,,,6.87282875953489
,,,,,para-hydroxybenzoic acid,Saccharomyces,2.9,,,1.53605290024021
,,,,,Ethanol,Saccharomyces,40,,,5.32192809488736
,,,,,Glucaric acid,Saccharomyces,6.38,,,2.67355642399014
,,,,,2-phenylethanol,Saccharomyces,3.52,,,1.81557542886257
,,,,,Campesterol,Saccharomyces,0.0921,,,-3.44065503345811
,,,,,Cholesterol,Saccharomyces,0.0818,,,-3.6117553466077
,,,,,Ethanol,Saccharomyces,58.4,,,5.86789646399266
,,,,,Ethanol,Saccharomyces,72.4,,,6.17791779219584
,,,,,Ethanol,Saccharomyces,62.5,,,5.96578428466209
,,,,,Ethanol,Saccharomyces,73,,,6.18982455888002
,,,,,Ethanol,Saccharomyces,62.5,,,5.96578428466209
,,,,,Ethanol,Saccharomyces,69,,,6.10852445677817
,,,,,Ethanol,Saccharomyces,54.3,,,5.762880292917
,,,,,Ethanol,Saccharomyces,66.3,,,6.05093696522523
,,,,,Ethanol,Saccharomyces,43.6,,,5.44625622988957
,,,,,Ethanol,Saccharomyces,66.2,,,6.04875931191986
,,,,,Ethanol,Saccharomyces,56.7,,,5.82527683005487
,,,,,Ethanol,Saccharomyces,65.2,,,6.02680005934372
,,,,,Ethanol,Saccharomyces,50.7,,,5.66391384211598
,,,,,"2,3-butanediol",Saccharomyces,96.2,,,6.58796498888268
,,,,,"2,3-butanediol",Saccharomyces,31.8,,,4.99095486039699
,,,,,PHBA,Saccharomyces,0.65,,,-0.62148837674627
,,,,,PABA,Saccharomyces,0.25,,,-2
,,,,,Human Insulin (IAP),Saccharomyces,63.69,,,5.99299496685181
,,,,,Human Insulin (IAP),Saccharomyces,78.21,,,6.28928117848199
,,,,,Human Insulin (IAP),Saccharomyces,98.34,,,6.61970645004589
,,,,,l-lactic acid,Saccharomyces,50.57,,,5.66020987335256
,,,,,n-butyl acetate,Saccharomyces,5.57,,,2.47767732756531
,,,,,Ethanol,Saccharomyces,86.2,,,6.42961596420174
,,,,,xylitol,Saccharomyces,1.03,,,0.0426443374084937
,,,,,xylitol,Saccharomyces,1.07,,,0.0976107966264223
,,,,,xylitol,Saccharomyces,0.97,,,-0.0439433475875971
,,,,,xylitol,Saccharomyces,1.06,,,0.0840642647884746
,,,,,xylitol,Saccharomyces,1.11,,,0.150559676575381
,,,,,xylitol,Saccharomyces,1.17,,,0.22650852980868
,,,,,xylitol,Saccharomyces,5.8,,,2.53605290024021
,,,,,xylitol,Saccharomyces,37.9,,,5.24412594328373
,,,,,Ethanol,Saccharomyces,26.12,,,4.70708299177171
,,,,,Ethanol,Saccharomyces,8.28,,,3.0496307677246
,,,,,Ethanol,Saccharomyces,9.6,,,3.26303440583379
,,,,,Isobutanol,Saccharomyces,12,,,3.58496250072116
,,,,,1-butanol,Saccharomyces,10,,,3.32192809488736
,,,,,"2,3-Butanediol",Saccharomyces,1.42,,,0.505890929729957
,,,,,"2,3-Butanediol",Saccharomyces,1.38,,,0.464668267003444
,,,,,Ethanol,Saccharomyces,70.1,,,6.13134253912326
,,,,,Glycolic acid,Saccharomyces,4.51,,,2.17312743348066
,,,,,Glycolic acid,Saccharomyces,23.79,,,4.57228336665041
,,,,,Ethanol,Saccharomyces,11.1,,,3.47248777146274
,,,,,Ethanol,Saccharomyces,9.6,,,3.26303440583379
,,,,,Biomass,Saccharomyces,11.35,,,3.50462039240355
,,,,,Ethanol,Saccharomyces,36,,,5.16992500144231
,,,,,Ethanol,Saccharomyces,57,,,5.83289001416474
,,,,,Ethanol,Saccharomyces,90.87,,,6.50573217374181
,,,,,UMP,Saccharomyces,8.13,,,3.0232553523003
,,,,,Rg2,Saccharomyces,1.3,,,0.37851162325373
,,,,,Re,Saccharomyces,3.6,,,1.84799690655495
,,,,,squalene,Saccharomyces,0.5933,,,-0.753166312089458
,,,,,squalene,Saccharomyces,0.9191,,,-0.121706256598958
,,,,,squalene,Saccharomyces,1.4053,,,0.490878146326293
,,,,,squalene,Saccharomyces,1.4693,,,0.555128993800309
,,,,,squalene,Saccharomyces,3.6736,,,1.87719454712624
,,,,,squalene,Saccharomyces,5.6498,,,2.49819979777293
,,,,,squalene,Saccharomyces,2.3329,,,1.22212446737522
,,,,,squalene,Saccharomyces,6.7311,,,2.75084229010552
,,,,,squalene,Saccharomyces,3.3831,,,1.75834582193588
,,,,,2-Phenylethanol (2-PE),Saccharomyces,6.1,,,2.60880924267552
,,,,,Rebaudioside A,Saccharomyces,1.1605,,,0.214746522682395
,,,,,isoamyl acetate,Saccharomyces,0.032,,,-4.96578428466209
,,,,,isoamyl acetate,Saccharomyces,0.1237,,,-3.01508259457308
,,,,,isoamyl acetate,Saccharomyces,0.0353,,,-4.82418800627827
,,,,,Ethanol,Saccharomyces,47,,,5.55458885167764
,,,,,Ethanol,Saccharomyces,46.1,,,5.52669484554198
,,,,,Ethanol,Saccharomyces,41.2,,,5.36457243229586
,,,,,Ethanol,Saccharomyces,45,,,5.49185309632968
,,,,,Ethanol,Saccharomyces,40.9,,,5.35402893805439
,,,,,Ethanol,Saccharomyces,30.1,,,4.91169158187234
,,,,,Ethanol,Saccharomyces,33.3,,,5.0574502721839
,,,,,Ethanol,Saccharomyces,33.2,,,5.05311133645956
,,,,,Ethanol,Saccharomyces,30.09,,,4.91121220155861
,,,,,Ethanol,Saccharomyces,45.8,,,5.51727569320958
,,,,,Ethanol,Saccharomyces,44.9,,,5.48864353985379
,,,,,Ethanol,Saccharomyces,40.9,,,5.35402893805439
,,,,,Ethanol,Saccharomyces,33.3,,,5.0574502721839
,,,,,Ethanol,Saccharomyces,33.2,,,5.05311133645956
,,,,,Ethanol,Saccharomyces,30.09,,,4.91121220155861
,,,,,Ethanol,Saccharomyces,22.8,,,4.51096191927738
,,,,,Ethanol,Saccharomyces,35.2,,,5.13750352374994
,,,,,Ethanol,Saccharomyces,46.02,,,5.52418907844937
,,,,,miltiradiene,Saccharomyces,1.43,,,0.516015147003665
,,,,,DFA IV,Saccharomyces,64.3,,,6.00674683244059
,,,,,Xylitol,Saccharomyces,12.7,,,3.6667565918848
,,,,,Xylitol,Saccharomyces,24.2,,,4.59693514238723
,,,,,Xylitol,Saccharomyces,27.8,,,4.79701297783615
,,,,,Xylitol,Saccharomyces,19.1,,,4.25550073314839
,,,,,Xylitol,Saccharomyces,62.4,,,5.96347412397489
,,,,,Xylitol,Saccharomyces,121.1,,,6.92005505480697
,,,,,Xylitol,Saccharomyces,148.5,,,7.21431912080077
,,,,,Xylitol,Saccharomyces,19,,,4.24792751344359
,,,,,Xylitol,Saccharomyces,14.13,,,3.82068956055922
,,,,,Xylitol,Saccharomyces,23.24,,,4.5385381636298
,,,,,Xylitol,Saccharomyces,29.61,,,4.88801258540283
,,,,,Xylitol,Saccharomyces,24.32,,,4.60407132366886
,,,,,erythritol,Saccharomyces,78.38,,,6.29241366782749
,,,,,erythritol,Saccharomyces,68.55,,,6.09908476089186
,,,,,erythritol,Saccharomyces,76.6,,,6.2592724870376
,,,,,erythritol,Saccharomyces,52,,,5.70043971814109
,,,,,erythritol,Saccharomyces,73,,,6.18982455888002
,,,,,erythritol,Saccharomyces,59.5,,,5.89481776330794
,,,,,erythritol,Saccharomyces,113.9,,,6.83162393682075
,,,,,ALA,Saccharomyces,0.94,,,-0.0892673380970874
,,,,,ALA,Saccharomyces,1.609,,,0.686164326061359
,,,,,ALA,Saccharomyces,2.013,,,1.00934717225925
,,,,,ALA,Saccharomyces,1.725,,,0.786596361890807
,,,,,ALA,Saccharomyces,1.18,,,0.238786859587117
,,,,,ALA,Saccharomyces,1.562,,,0.643394453479892
,,,,,ALA,Saccharomyces,0.635,,,-0.655171503002559
,,,,,L-malic acid,Saccharomyces,199.4,,,7.63952159951083
,,,,,triacetic acid lactone,Saccharomyces,10.4,,,3.37851162325373
,,,,,GGOH,Saccharomyces,0.374,,,-1.41888982477445
,,,,,GGOH,Saccharomyces,0.773,,,-0.37145968073724
,,,,,GGOH,Saccharomyces,0.4656,,,-1.10283703664117
,,,,,GGOH,Saccharomyces,0.5399,,,-0.889235878100193
,,,,,GGOH,Saccharomyces,0.6023,,,-0.731445835966457
,,,,,GGOH,Saccharomyces,0.6099,,,-0.713355378983561
,,,,,GGOH,Saccharomyces,0.6857,,,-0.544350572683585
,,,,,GGOH,Saccharomyces,5.07,,,2.34198574722862
,,,,,L-lactic acid,Saccharomyces,7.8,,,2.96347412397489
,,,,,L-lactic acid,Saccharomyces,26.7,,,4.73876783680019
,,,,,L-lactic acid,Saccharomyces,27.3,,,4.77082904603249
,,,,,L-lactic acid,Saccharomyces,30.8,,,4.94485844580754
,,,,,L-lactic acid,Saccharomyces,31,,,4.95419631038688
,,,,,L-lactic acid,Saccharomyces,30.9,,,4.94953493301701
,,,,,L-lactic acid,Saccharomyces,31.8,,,4.99095486039699
,,,,,L-lactic acid,Saccharomyces,8.5,,,3.08746284125034
,,,,,Ethanol,Saccharomyces,5.9,,,2.56071495447448
,,,,,Ethanol,Saccharomyces,7,,,2.8073549220576
,,,,,Ethanol,Saccharomyces,6,,,2.58496250072116
,,,,,Ethanol,Saccharomyces,7.3,,,2.86789646399266
,,,,,Ethanol,Saccharomyces,8,,,3
,,,,,Ethanol,Saccharomyces,6.8,,,2.76553474636298
,,,,,Ethanol,Saccharomyces,4.3,,,2.10433665981474
,,,,,Ethanol,Saccharomyces,4.1,,,2.03562390973072
,,,,,Ethanol,Saccharomyces,4.5,,,2.16992500144231
,,,,,Ethanol,Saccharomyces,3.368,,,1.75189213840431
,,,,,Squalene,Saccharomyces,0.2704,,,-1.88683294326727
,,,,,Squalene,Saccharomyces,0.2829,,,-1.8216359181532
,,,,,Squalene,Saccharomyces,0.9579,,,-0.0620530412581997
,,,,,Squalene,Saccharomyces,0.9579,,,-0.0620530412581997
,,,,,Squalene,Saccharomyces,1.0039,,,0.0056155674069098
,,,,,Squalene,Saccharomyces,1.3829,,,0.467696836372603
,,,,,Squalene,Saccharomyces,2.0624,,,1.0443241688122
,,,,,Squalene,Saccharomyces,2.0624,,,1.0443241688122
,,,,,Squalene,Saccharomyces,2.2658,,,1.18002052146631
,,,,,Squalene,Saccharomyces,2.4893,,,1.31574010835474
,,,,,Squalene,Saccharomyces,2.4893,,,1.31574010835474
,,,,,Squalene,Saccharomyces,3.0006,,,1.58525101087928
,,,,,Pyruvic Acid,Saccharomyces,41,,,5.35755200461808
,,,,,Melanin pigment,Saccharomyces,0.938,,,-0.0923401721467106
,,,,,SCP,Saccharomyces,18.3,,,4.19377174339668
,,,,,SCP,Saccharomyces,21.6,,,4.43295940727611
,,,,,"1,3-propanediol",Saccharomyces,12.1,,,3.59693514238723
,,,,,ethanol,Saccharomyces,21.02,,,4.39369076418745
,,,,,Ethanol,Saccharomyces,54.42,,,5.76606505147495
,,,,,Ethanol,Saccharomyces,48.6,,,5.60288440871842
,,,,,isobutanol,Saccharomyces,2.09,,,1.06350294230616
,,,,,Ethanol,Saccharomyces,6.9,,,2.78659636189081
,,,,,Ethanol,Saccharomyces,14.6,,,3.86789646399266
,,,,,Ethanol,Saccharomyces,69.1,,,6.1106138055009
,,,,,Ethanol,Saccharomyces,71,,,6.14974711950468
,,,,,Ethanol,Saccharomyces,76.8,,,6.26303440583379
,,,,,Ethanol,Saccharomyces,69.6,,,6.12101540096137
,,,,,Ethanol,Saccharomyces,73.9,,,6.20750245925879
,,,,,Ethanol,Saccharomyces,68.4,,,6.09592441999854
,,,,,Ethanol,Saccharomyces,63.4,,,5.98641093525204
,,,,,Ethanol,Saccharomyces,7.08,,,2.82374936030827
,,,,,Ethanol,Saccharomyces,89.8,,,6.48864353985379
,,,,,Ethanol,Saccharomyces,92.4,,,6.5298209465287
,,,,,Ethanol,Saccharomyces,3.96,,,1.98550043030489
,,,,,Ethanol,Saccharomyces,62.6,,,5.96809075204526
,,,,,Ethanol,Saccharomyces,4.43,,,2.14730669878029
,,,,,Ethanol,Saccharomyces,4.43,,,2.14730669878029
,,,,,Ethanol,Saccharomyces,12.84,,,3.68257329734758
,,,,,Ethanol,Saccharomyces,12.84,,,3.68257329734758
,,,,,Ethanol,Saccharomyces,3.26,,,1.70487196445635
,,,,,Ethanol,Saccharomyces,3.26,,,1.70487196445635
,,,,,trans-nerolidol,Saccharomyces,0.0568,,,-4.13796526004477
,,,,,trans-nerolidol,Saccharomyces,0.2803,,,-1.83495635051696
,,,,,trans-nerolidol,Saccharomyces,0.7401,,,-0.43420787852817
,,,,,Ethanol,Saccharomyces,19.81,,,4.30815697511476
,,,,,Ethanol,Saccharomyces,20.44,,,4.3533232911629
,,,,,Ethanol,Saccharomyces,19.96,,,4.31903981556254
,,,,,Ethanol,Saccharomyces,18,,,4.16992500144231
,,,,,Ethanol,Saccharomyces,18.37,,,4.19927972133663
,,,,,Ethanol,Saccharomyces,17.98,,,4.16832111573972
,,,,,Ethanol,Saccharomyces,18.51,,,4.21023299009585
,,,,,Ethanol,Saccharomyces,0.87,,,-0.200912693925996
,,,,,Ethanol,Saccharomyces,1.94,,,0.956056652412403
,,,,,(–)-germacrene D,Saccharomyces,1.94,,,0.956056652412403
,,,,,(–)-germacrene D,Saccharomyces,7.9,,,2.98185265328974
,,,,,7-DHC,Saccharomyces,0.1,,,-3.32192809488736
,,,,,7-DHC,Saccharomyces,0.2217,,,-2.17331932468214
,,,,,7-DHC,Saccharomyces,0.474,,,-1.07704103576383
,,,,,7-DHC,Saccharomyces,0.6408,,,-0.642053947140739
,,,,,7-DHC,Saccharomyces,4.28,,,2.09761079662642
,,,,,7-DHC,Saccharomyces,35,,,5.12928301694497
,,,,,Ethanol,Saccharomyces,35,,,5.12928301694497
,,,,,Ethanol,Saccharomyces,141.2,,,7.14159627838382
,,,,,Ethanol,Saccharomyces,149,,,7.21916852046216
,,,,,Ethanol,Saccharomyces,138.7,,,7.11582397743624
,,,,,Ethanol,Saccharomyces,152.2,,,7.24982454861618
,,,,,Ethanol,Saccharomyces,139.5,,,7.12412131182919
,,,,,Ethanol,Saccharomyces,153.4,,,7.26115467261557
,,,,,Ethanol,Saccharomyces,142,,,7.14974711950468
,,,,,Ethanol,Saccharomyces,142,,,7.14974711950468
,,,,,Ethanol,Saccharomyces,50,,,5.64385618977473
,,,,,L-lactic acid,Saccharomyces,47.37,,,5.56590176680667
,,,,,L-lactic acid,Saccharomyces,101.17,,,6.66063774000813
,,,,,ethanol,Saccharomyces,73.5,,,6.19967234483636
,,,,,ethanol,Saccharomyces,76.5,,,6.25738784269265
,,,,,ethanol,Saccharomyces,78.4,,,6.29278174922785
,,,,,ethanol,Saccharomyces,80.7,,,6.33449676839042
,,,,,ethanol,Saccharomyces,3.5,,,1.8073549220576
,,,,,ethanol,Saccharomyces,33.9,,,5.08321336824898
,,,,,ethanol,Saccharomyces,28.27,,,4.82119997805645
,,,,,ethanol,Saccharomyces,34.4,,,5.10433665981474
,,,,,ethanol,Saccharomyces,27.15,,,4.762880292917
,,,,,ethanol,Saccharomyces,33.39,,,5.06134418828839
,,,,,ethanol,Saccharomyces,32.98,,,5.04351949366274
,,,,,ethanol,Saccharomyces,39.22,,,5.29351763041743
,,,,,ethanol,Saccharomyces,36.32,,,5.18269229751619
,,,,,ethanol,Saccharomyces,42.56,,,5.41142624572647
,,,,,ethanol,Saccharomyces,27.67,,,4.79025073883523
,,,,,ethanol,Saccharomyces,34.82,,,5.12184429787638
,,,,,ethanol,Saccharomyces,27.62,,,4.78764141448333
,,,,,ethanol,Saccharomyces,34.69,,,5.11644793551166
,,,,,ethanol,Saccharomyces,26.63,,,4.73498052343589
,,,,,ethanol,Saccharomyces,33.66,,,5.07296327155523
,,,,,ethanol,Saccharomyces,32.01,,,5.00045077177086
,,,,,ethanol,Saccharomyces,39.22,,,5.29351763041743
,,,,,ethanol,Saccharomyces,35.24,,,5.13914201914569
,,,,,ethanol,Saccharomyces,42.56,,,5.41142624572647
,,,,,ethanol,Saccharomyces,2,,,1
,,,,,Bioethanol,Saccharomyces,28.9,,,4.85299758761332
,,,,,Bioethanol,Saccharomyces,35.91,,,5.16631374788993
,,,,,Bioethanol,Saccharomyces,34.9,,,5.12515513132229
,,,,,Bioethanol,Saccharomyces,28.7,,,4.84297883178833
,,,,,Bioethanol,Saccharomyces,38.23,,,5.25663329505992
,,,,,Bioethanol,Saccharomyces,37.55,,,5.23074100262691
,,,,,Bioethanol,Saccharomyces,31.96,,,4.99819550315325
,,,,,levan,Saccharomyces,9.19,,,3.20006486151431
,,,,,lipids,Saccharomyces,0.1326,,,-2.91484731943686
,,,,,Ferulic Acid,Saccharomyces,0.021,,,-5.57346686188333
,,,,,Ethanol,Saccharomyces,6,,,2.58496250072116
,,,,,Ethanol,Saccharomyces,3.58,,,1.83995958748953
,,,,,RNA,Saccharomyces,0.25,,,-2
,,,,,Nisin,Saccharomyces,6.43,,,2.68481873755322
,,,,,Ethanol,Saccharomyces,7.67,,,2.93922657772821
,,,,,Ethanol,Saccharomyces,9,,,3.16992500144231
,,,,,Ethanol,Saccharomyces,7.97,,,2.99457972421575
,,,,,Ethanol,Saccharomyces,7.8,,,2.96347412397489
,,,,,Ethanol,Saccharomyces,5.37,,,2.42492208821069
,,,,,"2,3-Butanediol",Saccharomyces,38,,,5.24792751344359
,,,,,"2,3-Butanediol",Saccharomyces,4.5,,,2.16992500144231
,,,,,Ethanol,Saccharomyces,4.5,,,2.16992500144231
,,,,,Ethanol,Saccharomyces,4.5,,,2.16992500144231
,,,,,Ethanol,Saccharomyces,4.5,,,2.16992500144231
,,,,,Ethanol,Saccharomyces,34.78,,,5.12018602753186
,,,,,Ethanol,Saccharomyces,52.83,,,5.72328550477764
,,,,,Ethanol,Saccharomyces,45.77,,,5.51633038682594
,,,,,Ethanol,Saccharomyces,45.85,,,5.51884982870769
,,,,,Ethanol,Saccharomyces,52.41,,,5.71177020386319
,,,,,Ethanol,Saccharomyces,65.37,,,6.03055679206234
,,,,,Ethanol,Saccharomyces,73.8,,,6.20554891117303
,,,,,Ethanol,Saccharomyces,54.54,,,5.76924279514054
,,,,,Ethanol,Saccharomyces,1.54,,,0.622930350920177
